2025-06-04 00:49:54 | two_way:to→from | .DS_Store | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/.DS_Store | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/.vscode/launch.json | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/BaseDirs.psd1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/KeywordDirs.psd1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Microsoft.PowerShell_profile.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Modules/VirtualFolderFileUtils/Archive/DirFileSpecUtils - Copy.psd1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Modules/VirtualFolderFileUtils/Archive/DirFileSpecUtils - Copy.psm1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Modules/VirtualFolderFileUtils/VirtualFolderFileUtils.psd1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Modules/VirtualFolderFileUtils/VirtualFolderFileUtils.psm1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/PowerShellLog.txt | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/PowerShell_Aliases.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/.DS_Store | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/.vscode/launch.json | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/.vscode/settings.json | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/AIUtils/llm.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/AIUtils/llm_wrapper.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/CPMTO24_RetrieveEmailAttachments.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/CTSO_RetrieveEmailAttachments.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/CTSO_RetrieveEmailAttachments.tmp | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/DateTimeUtils/DateTimeUtils.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/DevUtils/Compare-SortedCollections.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/DevUtils/DryRun.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/DevUtils/Format-Utils.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/DevUtils/Logging.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/FileUtils/Archive-Files.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/FileUtils/Export-EmailSafeScripts.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/FileUtils/Get-SPFile.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/FileUtils/Move-Files.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/FileUtils/Rename-FileExtension.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/FileUtils/Rename-Files.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/FileUtils/Select-Files.ps1 | 
2025-06-04 00:49:54 | two_way:to→from | WindowsPowerShell/Scripts/FileUtils/Zip-Contents.ps1 | 
